plot,treatment,calluna_vulgaris,erica_cinerea,erica_tetralix,vaccinium_myrtilus,vaccinium_vitis-idaea,empetrum_nigrum,grass,forb,pinus_sylvestris,betula_spp,sorbus_aucuparia,salix_spp,conifer_canopy,broadleaf_canopy,tree_regeneration,ground_layer,canopy_layer_cover,sub_canopy_layer_cover,tall_understorey_cover,low_shrub_cover,ground_layer_cover,canopy_layer_score,sub_canopy_layer_score,tall_understorey_score,low_shrub_score,ground_layer_score,complexity_score,ground_layer_height_1,ground_layer_height_2,ground_layer_height_3,ground_layer_height_4,ground_layer_height_5,ground_layer_height_6
1,woodland,30,0,0,75,40,5,0,0,65,0,0,0,65,0,0,85,75,0,0,0,85,4,0,0,0,4,8,12,18,42,53,38,22
2,woodland,50,0,0,30,60,0,25,0,50,0,5,0,50,0,5,80,50,0,0,0,80,3,0,0,0,4,7,44,46,53,60,20,11
3,woodland,90,0,0,5,25,5,5,0,40,0,5,0,40,0,5,90,40,0,0,0,95,3,0,0,0,4,7,65,50,43,53,67,69
4,woodland,90,0,5,10,30,5,5,0,35,0,0,0,35,0,5,90,35,0,0,0,95,3,0,0,0,4,7,23,57,63,71,62,55
5,woodland,60,0,5,20,30,0,30,0,30,0,0,0,30,0,5,70,30,0,0,0,70,3,0,0,0,4,7,24,26,49,26,33,46
6,woodland,90,0,5,10,25,10,5,0,30,5,5,0,25,0,5,90,30,0,0,0,90,3,0,0,0,4,7,34,35,55,29,16,72
7,regeneration,70,10,5,0,5,0,25,5,55,5,0,0,0,0,60,75,0,0,15,40,5,0,0,2,3,1,6,29,62,33,33,45,41
8,regeneration,75,10,5,0,5,0,20,10,20,0,0,0,0,0,20,75,0,0,5,15,5,0,0,1,2,1,4,43,50,65,50,51,40
9,regeneration,70,10,5,0,0,0,30,5,30,0,0,0,0,0,35,75,0,0,10,20,5,0,0,1,2,1,4,55,60,38,51,36,42
10,regeneration,90,10,10,0,0,0,5,5,45,0,0,0,0,0,45,95,0,0,20,25,95,0,0,2,3,4,9,42,28,37,40,23,39
11,regeneration,70,15,5,0,5,0,30,10,40,0,0,0,0,0,40,75,0,0,25,15,80,0,0,3,2,4,9,39,29,23,36,36,42
12,regeneration,35,5,5,0,0,0,75,10,60,0,0,0,0,0,60,35,0,0,55,5,40,0,0,4,1,3,8,37,48,42,22,34,39
13,woodland,70,0,5,5,5,0,35,0,70,10,0,0,10,5,60,80,15,5,20,40,80,2,1,2,3,4,12,47,76,69,51,56,37
14,woodland,50,5,10,5,5,0,60,5,75,5,5,0,60,0,20,50,60,0,5,15,60,4,0,1,2,4,11,85,73,50,69,9,30
15,woodland,50,0,10,0,15,5,50,5,40,10,0,5,25,0,40,50,25,0,10,30,5,3,0,1,3,1,8,40,28,44,44,49,43
16,woodland,50,0,0,10,10,0,70,5,40,15,5,0,40,10,10,50,40,0,5,10,50,3,0,1,1,3,8,20,57,84,77,71,88
17,woodland,80,0,0,10,5,0,15,5,60,15,5,0,40,0,55,80,40,10,25,25,80,3,1,3,3,4,14,76,45,52,39,35,73
18,woodland,30,0,0,5,5,0,85,5,50,50,5,5,50,0,75,30,20,0,25,50,30,2,0,3,3,3,11,56,82,91,71,78,77
19,regeneration,95,0,0,5,5,0,5,0,5,5,0,0,0,0,10,95,0,0,5,5,95,0,0,1,1,4,6,65,53,38,71,46,43
20,regeneration,95,0,0,5,5,0,5,5,40,40,0,0,0,0,75,95,0,0,60,15,95,0,0,4,2,4,10,61,9,46,62,71,46
