moorland	regeneration	woodland
1	0	0
0	1	0
3	4	1
0	4	1
0	0	2
3	32	128
0	1	0
77	31	15
3	7	0
0	4	1
0	1	0
4	2	0
2	0	0
0	0	6
0	2	2
0	0	1
1	0	2
0	1	0
0	6	26
0	2	5
0	0	8
0	0	3
3	0	1
0	2	0
0	1	9
0	2	3
0	1	0
0	1	17
4	4	3
3	1	1
0	0	1
13	32	38
1	10	6
0	0	2
5	0	6
0	0	1
0	1	0
1	2	8
104	166	301
0	1	0
2	1	0
0	8	5
11	1	2
10	8	52
16	4	2
0	0	1
28	10	58
0	1	0
0	1	2
0	3	7
0	2	0
19	2	75
66	28	17
15	12	4
0	4	3
0	0	1
2	0	2
0	1	4
0	3	15
15	10	0
0	1	0
21	19	114
1	13	41
0	8	4
0	5	6
0	0	1
0	0	1
0	1	14
143	126	196
0	0	1
0	0	1
1	4	0
0	1	0
0	1	0
4	16	7
0	0	1
11	21	3
1	3	0
6	4	1
0	0	2
0	1	1
1	1	10
1	1	2
0	1	2
0	0	1
0	0	1
1	0	0
1	6	34
1	0	3
2	0	0
1	1	0
2	0	1
1	2	5
0	3	26
0	1	0
4	7	67
0	2	2
0	3	7
1	18	1
0	1	0
1	2	0
6	15	3
0	1	1
0	5	1
10	56	29
5	5	9
0	4	13
1	0	1
0	1	17
1	0	1
1	9	9
1	2	0
1	1	0
9	7	0
0	3	2
