Mar Lodge Spreadsheet,abh_number,b&f_number,wiemers_checklist_number,k&r_number,scientific_name ,common_name ,family,england ,scotland ,wales ,northern_ireland,republic_of_ireland,reintroduced,immigrant ,resident,extinct_gb ,extinct_i,red_list_gb ,red_list_ireland,gb_10_km_squares_(2000-2016),ireland_10_km_squares_(2000-2016),rarirty_gb,long_term_distribution_trend_gb,sig_long_term_distribution_trend_gb,range_long_term_distribution_trend_gb,short_term_distribution_trend_gb,sig_short_term_distribution_trend_gb,range_short_term_distribution_trend_gb,abundance_trend_gb,sig_abundance_trend_gb,range_abundance_trend_gb ,diurnal ,nocturnal ,easily_disturbed_by_day,communal_or_nest,below_ground,leaf_litter_moss_on_ground_soil_surface,hostplant_external,hostplant_internal_stem,hostplant_internal_root,other_vegetation_external,stone_inc_walls,dead_rotten_wood ,wingless_reduced_wing_female,forewing_minimum,forewing_maximum,estimated_dry_mass,obligate_univoltine,obligate_multivoltine,partial_generation,phenology_shift,sig_phenology_shift,egg_jan,egg_feb,egg_mar,egg_apr,egg_may,egg_jun,egg_jul,egg_aug,egg_sep,egg_oct,egg_nov,egg_dec,lar_jan,lar_feb,lar_mar,lar_apr,lar_may,lar_jun,lar_july,lar_aug,lar_sep,lar_oct,lar_nov,lar_dec,lar_multiple,pup_jan,pup_feb,pup_mar,pup_apr,pup_may,pup_jun,pup_jul,pup_aug,pup_sep,pup_oct,pup_nov,pup_dec,pup_multiple,ad_jan,ad_feb,ad_mar,ad_apr,ad_may,ad_jun,ad_jul,ad_agu,ad_sep,ad_oct,ad_nov,ad_dec,egg,larva,pupa,adult,specificity ,number_hostplants,hostplant_or_hostplant_category,hostplant_or_hostplant_category_scientific,hostplant_native_or_non-native,light_value,moisture_value,reaction,nitrogen,salt_tolerance,sedges,rushes,grasses ,forbs,ferns,broadleaf_trees,coniferous_trees,shrubs_dwarf_shrubs,mosses,lichens_algae,fungi,slime_moulds,detritus,aquatic_plants,dead_withered_leaves,live_dead_invertebrates_meat,galls,stored_goods,other,roots,stem_shoot,trunk_branches,seeds_berries_fruits,flowers_flower_buds_catkins,leaves_leaf_buds_fronds_external,leaves_internal_mines,other,willow Salix spp,birches Betula spp,Blackthorn (Prunus spinosa),oaks Quercus spp,Hawthorn Crataegus monogyna,docks Rumex spp,Hazel Corylus avellana,Heather Calluna vulgaris,grasses ,Bramble Rubus fruticosus,Bilberry Vaccinium myrtillus,Alder Alnus glutinosa,Pedunculate Oak Quercus robur,Aspen Populus tremula,elms Ulmus spp.,dandelions Taraxacum spp., Downy Birch Betula pubescens,hawthorns Crataegus spp.,Beech Fagus sylvatica,Honeysuckle Lonicera periclymenum,1. Woodland,1a_broadleaved_woodland,1b_coniferious_woodland,1c_scrub_and_hedgerows,1d_wet_woodland_alder_willow_carr,2_heathland,3_moorland,moorland_specialist,4_grassland,4a_calcareou_grassland,4b_wet_grassland,4c_acid_grassland,5_wetlands,5a_bog_mosses_mires,5b_fens_and_marshes,5c_reedbeds,6a_sand_dunes,6b_saltmarsh,6c_rocky_coast,6d_coastal_shingle,7_montane_upland,8_other,conifer_specialist,broadleaf_specialist,grass_specialist,dward_shrub_specialist
1,3.003,18,,69,Korscheltellus fusconebulosa,Map-winged Swift,Hepialidae,1,1,1,1,1,,,1,,,LC,LC,1346,413,,0.05,N,1970 - 2016,-0.04,N,2000 - 2016,0.3,N,1970 - 2016,,1,,,1,,,,,,,,,14,26,62.8,1,,,-4,Y,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Polyphagous,2,,,1,,,,,,,,1,3,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,1,,1,,,1,,,,,,,,,3,,,,,
1,65.013,1657,,7490,Ochropacha duplaris,Common Lutestring,Drepanidae,1,1,1,1,1,,,1,,,LC,LC,1361,170,,0.12,N,1970 - 2016,-0.148,N,2000 - 2016,0.242,N,1970 - 2016,,1,,,,1,1,,,,,,,14,18,31.7,1,,,-6.1,Y,,,,,,,1,1,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,,,,,,1,1,1,1,,,,,,,1,,Oligophagous (Genus),1,birches Betula spp.,Betula spp.,1,7,6,4,4,0,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,3,,,1,,
1,66.002,1632,,6731,Trichiura crataegi,Pale Eggar,Lasiocampidae,1,1,1,1,1,,,1,,,VU,LC,601,8,,-0.57,Y,1970 - 2016,0.089,N,2000 - 2016,-0.886,Y,1970 - 2016,,1,,,,1,,,,,,,,14,17,28.8,1,,,-3.1,Y,1,1,1,,,,,,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,Polyphagous,3,, ,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,,,,3,,,1,,
1,66.007,1637,,6752,Lasiocampa quercus,Oak Eggar / Northern Eggar,Lasiocampidae,1,1,1,1,1,,,1,,,LC,LC,1480,224,,-0.14,N,1970 - 2016,-0.216,N,2000 - 2016,0.573,N,1970 - 2016,1,1,,,,1,,,,,,,,25,40,276.8,1,,,0.4,N,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,1,1,1,,,,,,1,1,,Polyphagous,20,, ,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,1,,1,1,1,,,,,,1,,1,1,1,1,1,,1,1,,1,1,,,1,,1,,1,,1,,3,,,,,
1,70.016,1713,,8184,Idaea aversata,Riband Wave,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2060,421,,0.1,Y,1970 - 2016,0.038,N,2000 - 2016,0.082,N,1970 - 2016,,1,1,,,1,,,,,,,,14,16,9.7,1,,1,,,,,,,,,,1,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,,Polyphagous,9,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,1,1,,,1,,,1,1,,,,,,,,,,,3,,,,,
1,70.026,1694,,8067,Scopula ternata,Smoky Wave,Geometridae,1,1,1,1,,,,1,,,LC,VU,374,0,,-0.45,Y,1970 - 2016,-0.255,N,2000 - 2016,0.779,N,1970 - 2016,,1,1,,1,1,,,,,,,,12,15,7.4,1,,,-4.1,Y,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,1,,,Oligophagous (Family),3,, ,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,
1,70.041,1734,,8061,Scotopteryx luridata,July Belle,Geometridae,1,1,1,1,1,,,1,,,LC,LC,523,58,,-0.66,Y,1970 - 2016,-0.652,Y,2000 - 2016,-0.34,N,1970 - 2016,,1,1,,,1,,,,,,,,15,19,13.4,1,,,0,N,,,,,,,,1,,,,,1,1,1,1,1,,,,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Oligophagous (Family),3,, ,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,3,,,,,
1,70.053,1722,,8249,Xanthorhoe designata,Flame Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1989,447,,0.87,Y,1970 - 2016,0.185,N,2000 - 2016,0.523,N,1970 - 2016,,1,1,,,,,,,,,,,11,14,6.1,1,1,,,,,,,,,1,,1,,,,,,,,,,1,1,1,1,,,,,1,1,1,1,1,,1,,,1,1,1,,,,,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,1,,,,,,,,,3,,,,,
1,70.054,1727,,8255,Xanthorhoe montanata,Silver-ground Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2389,452,,0.05,N,1970 - 2016,0.009,N,2000 - 2016,-0.393,Y,1970 - 2016,,1,,,1,,,,,,,,,14,17,10.6,1,,,-9.1,Y,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Polyphagous,6,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,1,,1,,1,,,,,,3,,,,,
1,70.059,1742,,8289,Camptogramma bilineata,Yellow Shell,Geometridae,1,1,1,1,1,,,1,,,LC,NT,1947,189,,0.08,N,1970 - 2016,-0.073,N,2000 - 2016,0.108,N,1970 - 2016,,1,1,,1,1,,,,,,,,13,16,8.9,1,,,-1.4,N,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,,,,,1,,,Polyphagous,15,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,1,,,,,1,1,1,1,,,,,1,,,,1,,1,,1,,1,,3,,,,,
